AAP,NULL,Alexandra Palace,910GALEXNDP,N90NN
ZAT,ACT,Acton Town,940GZZLUACT,W38HN
ZBA,BNK,Bank,940GZZLUBNK,EC3V3LA
ZBB,NULL,Barbican,910GBRBCNLT,EC1M6PX
ZBC,ZBC,Bow Church,940GZZDLBOW,E33EF
ZBD,BDS,Bond Street,940GZZLUBND,W1R1FE
ZBE,BER,Bermondsey,940GZZLUBMY,SE164RX
ZBG,BGR,Bounds Green,910GBOWESPK,N112EU
ZBH,ZBW,Blackwall,940GZZDLBLA,E149QE
ZBJ,ZBP,Beckton Park,940GZZDLBPK,E65PF
ZBK,NULL,Barking Underground,910GBARKING,IG118TN
ZBM,BOS,Boston Manor,940GZZLUBOS,TW89LQ
ZBN,BDE,Barkingside,940GZZLUBKE,IG61NB
ZBO,BUR,Burnt Oak,940GZZLUBTK,HA80LA
ZBP,BPK,Belsize Park,940GZZLUBZP,NW32AL
ZBQ,BCT,Barons Court,940GZZLUBSC,W149AX
ZBR,BWR,Bow Road,940GZZLUBWR,E34DH
ZBS,BST,Baker Street,940GZZLUBST,NW15LL
ZBT,BTX,Brent Cross,940GZZLUBTX,NW119UA
ZBU,BOR,Borough,940GZZLUBOR,SE11JX
ZBV,ZBT,Beckton,940GZZDLBEC,E65NT
ZBW,BBB,Bromley-By-Bow,940GZZLUBBB,E33NF
ZBY,ZBW,Bayswater,940GZZLUBWT,W24QH
ZBZ,BEC,Becontree,940GZZLUBEC,RM94TP
ZCA,CPS,Clapham South,940GZZLUCPS,SW129DU
ZCB,CNT,Canning Town,940GZZLUCGT,E161DQ
ZCC,CPC,Clapham Common,940GZZLUCPC,SW47AJ
ZCD,COL,Colindale,940GZZLUCND,NW95HR
ZCE,ZCH,Custom House,940GZZDLCUS,E163AT
ZCF,CHF,Chalk Farm,940GZZLUCFM,NW32BP
ZCH,ZXH,Crossharbour,940GZZDLCLA,E149RE
ZCI,CHP,Chiswick Park,940GZZLUCWP,W45NE
ZCK,CFS,Cockfosters,940GZZLUCKS,EN40DZ
ZCL,CLW,Colliers Wood,940GZZLUCSD,SW192HR
ZCN,CPN,Clapham North,910GCLPHHS,SW47TS
ZCP,CPK,Canons Park,940GZZLUCPK,HA86RN
ZCQ,ZCY,Cyprus,940GZZDLCYP,E65NA
ZCR,CRD,Caledonian Road,940GZZLUCAR,N79BA
ZCS,ZCS,Cutty Sark,940GZZDLCUT,SE109DW
ZCT,CTN,Camden Town,940GZZLUCTN,NW18NH
ZCV,COV,Covent Garden,940GZZLUCGN,WC2E9JT
ZCW,NULL,Canada Water,910GCNDAW,SE167HS
ZCY,CYL,Chancery Lane,940GZZLUCHL,WC1V6DR
ZCZ,CWF,Canary Wharf,940GZZLUCYF,E144HJ
ZDE,DGE,Dagenham East,940GZZLUDGE,RM108AA
ZDH,DGH,Dagenham Heathway,940GZZLUDGY,RM95AN
ZDO,DHL,Dollis Hill,940GZZLUDOH,NW105NB
ZDP,ZDP,Deptford Bridge,940GZZDLDEP,SE84HH
ZDR,ZDR,Devons Road,940GZZDLDEV,E34DP
ZEA,EAC,East Acton,940GZZLUEAN,W120BP
ZEB,ERB,Edgware Road (Bakerloo),940GZZLUERB,W21EB
ZEC,ECM,Ealing Common,940GZZLUECM,W53LD
ZED,EDG,Edgware,940GZZLUEGW,HA87AW
ZEE,ETE,Eastcote,940GZZLUEAE,HA51QZ
ZEF,EFY,East Finchley,940GZZLUEFY,N20NW
ZEH,EHM,East Ham,940GZZLUEHM,E62JA
ZEI,ZEI,East India,940GZZDLEIN,E149GF
ZEK,EMB,Embankment,910GCHRX,WC2N6NS
ZEL,NULL,Elephant & Castle (Underground),910GELPHNAC,SE16LW
ZEM,ERD,Edgware Road (Circle),940GZZLUERC,NW15DD
ZEP,EPK,Elm Park,940GZZLUEPK,RM124RW
ZER,ZER,Elverson Road,940GZZDLELV,SE137RN
ZES,ESQ,Euston Square,940GZZLUESQ,NW12BN
ZET,ECT,Earls Court,940GZZLUECT,SW59QA
ZFA,FLP,Fairlop,940GZZLUFLP,IG63HD
ZFB,FBY,Fulham Broadway,940GZZLUFBY,SW61BY
ZFC,FYC,Finchley Central,940GZZLUFYC,N32RY
ZFD,NULL,Farringdon,910GFRNDNLT,EC1N8QT
ZFR,FRD,Finchley Road,940GZZLUFYR,NW36OP
ZGA,GHL,Gants Hill,940GZZLUGTH,IG26UD
ZGC,ZGH,Gallions Reach,940GZZDLGAL,E66FS
ZGE,GPK,Green Park,940GZZLUGPK,W1V9HG
ZGG,GGR,Golders Green,940GZZLUGGN,NW117RN
ZGP,GPS,Great Portland Street,940GZZLUGPS,NW14LH
